text,label
The department meeting is scheduled for tomorrow at 10 AM.,0
Thank you for attending the workshop yesterday.,0
Your Office365 password has expired. Reset it immediately.,1
Your account has been suspended. Click the link to verify your password immediately.,1
The library will remain closed on Sunday.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Security Alert! Update your account information to avoid suspension.,1
Please find the attached project report for your review.,0
Thank you for attending the workshop yesterday.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Please find the attached project report for your review.,0
Your Office365 password has expired. Reset it immediately.,1
Your leave request has been approved by the HR department.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
The monthly sales report is attached for discussion.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Please find the attached project report for your review.,0
Your income tax refund is pending. Confirm your bank details.,1
Your PayPal account is limited. Verify your credentials immediately.,1
The examination timetable has been uploaded to the portal.,0
Thank you for attending the workshop yesterday.,0
Your Office365 password has expired. Reset it immediately.,1
Please find the attached project report for your review.,0
Security Alert! Update your account information to avoid suspension.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
Thank you for attending the workshop yesterday.,0
Your account has been suspended. Click the link to verify your password immediately.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Your order has been shipped and will arrive next week.,0
Your mailbox is full. Click here to increase storage.,1
Verify your OTP to prevent account deactivation.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Urgent! Your bank account requires verification. Login now.,1
Please find the attached project report for your review.,0
Thank you for attending the workshop yesterday.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
Security Alert! Update your account information to avoid suspension.,1
The library will remain closed on Sunday.,0
The library will remain closed on Sunday.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Reminder: Submit your assignment before Friday.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your Office365 password has expired. Reset it immediately.,1
Your leave request has been approved by the HR department.,0
Verify your OTP to prevent account deactivation.,1
The seminar will begin at 2 PM in the conference hall.,0
The monthly sales report is attached for discussion.,0
The examination timetable has been uploaded to the portal.,0
The library will remain closed on Sunday.,0
Security Alert! Update your account information to avoid suspension.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Thank you for attending the workshop yesterday.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Confirm your payment details to continue using your account.,1
The library will remain closed on Sunday.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Confirm your payment details to continue using your account.,1
Your income tax refund is pending. Confirm your bank details.,1
Your order has been shipped and will arrive next week.,0
Thank you for attending the workshop yesterday.,0
Reminder: Submit your assignment before Friday.,0
The library will remain closed on Sunday.,0
The seminar will begin at 2 PM in the conference hall.,0
Confirm your payment details to continue using your account.,1
Security Alert! Update your account information to avoid suspension.,1
Urgent! Your bank account requires verification. Login now.,1
Your account has been suspended. Click the link to verify your password immediately.,1
The seminar will begin at 2 PM in the conference hall.,0
Urgent! Your bank account requires verification. Login now.,1
Thank you for attending the workshop yesterday.,0
Confirm your payment details to continue using your account.,1
Urgent! Your bank account requires verification. Login now.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Thank you for attending the workshop yesterday.,0
Your Office365 password has expired. Reset it immediately.,1
Verify your OTP to prevent account deactivation.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Confirm your payment details to continue using your account.,1
The seminar will begin at 2 PM in the conference hall.,0
Confirm your payment details to continue using your account.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Your Office365 password has expired. Reset it immediately.,1
The library will remain closed on Sunday.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your leave request has been approved by the HR department.,0
Security Alert! Update your account information to avoid suspension.,1
Your account has been suspended. Click the link to verify your password immediately.,1
The monthly sales report is attached for discussion.,0
Verify your OTP to prevent account deactivation.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Your mailbox is full. Click here to increase storage.,1
The monthly sales report is attached for discussion.,0
Reminder: Submit your assignment before Friday.,0
Security Alert! Update your account information to avoid suspension.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Verify your OTP to prevent account deactivation.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
The library will remain closed on Sunday.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Confirm your payment details to continue using your account.,1
Your mailbox is full. Click here to increase storage.,1
The examination timetable has been uploaded to the portal.,0
The library will remain closed on Sunday.,0
Urgent! Your bank account requires verification. Login now.,1
The library will remain closed on Sunday.,0
Security Alert! Update your account information to avoid suspension.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Your Office365 password has expired. Reset it immediately.,1
The seminar will begin at 2 PM in the conference hall.,0
Thank you for attending the workshop yesterday.,0
Please find the attached project report for your review.,0
Your Office365 password has expired. Reset it immediately.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
Thank you for attending the workshop yesterday.,0
Your Office365 password has expired. Reset it immediately.,1
Urgent! Your bank account requires verification. Login now.,1
Please find the attached project report for your review.,0
The monthly sales report is attached for discussion.,0
Your mailbox is full. Click here to increase storage.,1
Confirm your payment details to continue using your account.,1
Your Office365 password has expired. Reset it immediately.,1
The seminar will begin at 2 PM in the conference hall.,0
Thank you for attending the workshop yesterday.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Security Alert! Update your account information to avoid suspension.,1
Your order has been shipped and will arrive next week.,0
Your leave request has been approved by the HR department.,0
Your account has been suspended. Click the link to verify your password immediately.,1
The monthly sales report is attached for discussion.,0
Security Alert! Update your account information to avoid suspension.,1
The library will remain closed on Sunday.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Your Office365 password has expired. Reset it immediately.,1
Verify your OTP to prevent account deactivation.,1
Please find the attached project report for your review.,0
The monthly sales report is attached for discussion.,0
The monthly sales report is attached for discussion.,0
Verify your OTP to prevent account deactivation.,1
Your Office365 password has expired. Reset it immediately.,1
The seminar will begin at 2 PM in the conference hall.,0
Your order has been shipped and will arrive next week.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Security Alert! Update your account information to avoid suspension.,1
The seminar will begin at 2 PM in the conference hall.,0
Your income tax refund is pending. Confirm your bank details.,1
Reminder: Submit your assignment before Friday.,0
The seminar will begin at 2 PM in the conference hall.,0
Your income tax refund is pending. Confirm your bank details.,1
Your Office365 password has expired. Reset it immediately.,1
Reminder: Submit your assignment before Friday.,0
Verify your OTP to prevent account deactivation.,1
Urgent! Your bank account requires verification. Login now.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Reminder: Submit your assignment before Friday.,0
The seminar will begin at 2 PM in the conference hall.,0
The seminar will begin at 2 PM in the conference hall.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
Your mailbox is full. Click here to increase storage.,1
Your order has been shipped and will arrive next week.,0
Please find the attached project report for your review.,0
Your order has been shipped and will arrive next week.,0
Verify your OTP to prevent account deactivation.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Your mailbox is full. Click here to increase storage.,1
Urgent! Your bank account requires verification. Login now.,1
The seminar will begin at 2 PM in the conference hall.,0
Your PayPal account is limited. Verify your credentials immediately.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Your mailbox is full. Click here to increase storage.,1
The seminar will begin at 2 PM in the conference hall.,0
Thank you for attending the workshop yesterday.,0
Security Alert! Update your account information to avoid suspension.,1
The monthly sales report is attached for discussion.,0
Urgent! Your bank account requires verification. Login now.,1
Thank you for attending the workshop yesterday.,0
Urgent! Your bank account requires verification. Login now.,1
Confirm your payment details to continue using your account.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Confirm your payment details to continue using your account.,1
Your income tax refund is pending. Confirm your bank details.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
Please find the attached project report for your review.,0
The monthly sales report is attached for discussion.,0
The seminar will begin at 2 PM in the conference hall.,0
Your leave request has been approved by the HR department.,0
The library will remain closed on Sunday.,0
Your leave request has been approved by the HR department.,0
Urgent! Your bank account requires verification. Login now.,1
Security Alert! Update your account information to avoid suspension.,1
The monthly sales report is attached for discussion.,0
Confirm your payment details to continue using your account.,1
Your order has been shipped and will arrive next week.,0
The examination timetable has been uploaded to the portal.,0
Security Alert! Update your account information to avoid suspension.,1
Your Office365 password has expired. Reset it immediately.,1
Your order has been shipped and will arrive next week.,0
Please find the attached project report for your review.,0
The library will remain closed on Sunday.,0
Your order has been shipped and will arrive next week.,0
Your leave request has been approved by the HR department.,0
Your income tax refund is pending. Confirm your bank details.,1
Your leave request has been approved by the HR department.,0
Security Alert! Update your account information to avoid suspension.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Urgent! Your bank account requires verification. Login now.,1
Your income tax refund is pending. Confirm your bank details.,1
Security Alert! Update your account information to avoid suspension.,1
Your order has been shipped and will arrive next week.,0
Your order has been shipped and will arrive next week.,0
Confirm your payment details to continue using your account.,1
Please find the attached project report for your review.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
The library will remain closed on Sunday.,0
Your income tax refund is pending. Confirm your bank details.,1
The library will remain closed on Sunday.,0
Your leave request has been approved by the HR department.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Your income tax refund is pending. Confirm your bank details.,1
Please find the attached project report for your review.,0
Your leave request has been approved by the HR department.,0
Your mailbox is full. Click here to increase storage.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your account has been suspended. Click the link to verify your password immediately.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
The seminar will begin at 2 PM in the conference hall.,0
Your Office365 password has expired. Reset it immediately.,1
The monthly sales report is attached for discussion.,0
The library will remain closed on Sunday.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
The examination timetable has been uploaded to the portal.,0
Your Office365 password has expired. Reset it immediately.,1
The monthly sales report is attached for discussion.,0
Your Office365 password has expired. Reset it immediately.,1
The monthly sales report is attached for discussion.,0
Your leave request has been approved by the HR department.,0
The seminar will begin at 2 PM in the conference hall.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Your income tax refund is pending. Confirm your bank details.,1
Urgent! Your bank account requires verification. Login now.,1
Verify your OTP to prevent account deactivation.,1
Security Alert! Update your account information to avoid suspension.,1
Your order has been shipped and will arrive next week.,0
Urgent! Your bank account requires verification. Login now.,1
Confirm your payment details to continue using your account.,1
The library will remain closed on Sunday.,0
The seminar will begin at 2 PM in the conference hall.,0
Confirm your payment details to continue using your account.,1
Your mailbox is full. Click here to increase storage.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
Confirm your payment details to continue using your account.,1
The monthly sales report is attached for discussion.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
The monthly sales report is attached for discussion.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Your mailbox is full. Click here to increase storage.,1
Your order has been shipped and will arrive next week.,0
The monthly sales report is attached for discussion.,0
The library will remain closed on Sunday.,0
Reminder: Submit your assignment before Friday.,0
Reminder: Submit your assignment before Friday.,0
Your account has been suspended. Click the link to verify your password immediately.,1
Please find the attached project report for your review.,0
Security Alert! Update your account information to avoid suspension.,1
The monthly sales report is attached for discussion.,0
Confirm your payment details to continue using your account.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Reminder: Submit your assignment before Friday.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
The library will remain closed on Sunday.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
Security Alert! Update your account information to avoid suspension.,1
The examination timetable has been uploaded to the portal.,0
Verify your OTP to prevent account deactivation.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
The monthly sales report is attached for discussion.,0
Your Office365 password has expired. Reset it immediately.,1
Thank you for attending the workshop yesterday.,0
Your order has been shipped and will arrive next week.,0
Your account has been suspended. Click the link to verify your password immediately.,1
Thank you for attending the workshop yesterday.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
Confirm your payment details to continue using your account.,1
The examination timetable has been uploaded to the portal.,0
Please find the attached project report for your review.,0
Urgent! Your bank account requires verification. Login now.,1
Your order has been shipped and will arrive next week.,0
Urgent! Your bank account requires verification. Login now.,1
Your income tax refund is pending. Confirm your bank details.,1
The library will remain closed on Sunday.,0
Thank you for attending the workshop yesterday.,0
Please find the attached project report for your review.,0
Your leave request has been approved by the HR department.,0
Your account has been suspended. Click the link to verify your password immediately.,1
Your income tax refund is pending. Confirm your bank details.,1
The library will remain closed on Sunday.,0
Urgent! Your bank account requires verification. Login now.,1
The examination timetable has been uploaded to the portal.,0
Urgent! Your bank account requires verification. Login now.,1
Your order has been shipped and will arrive next week.,0
Security Alert! Update your account information to avoid suspension.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Your income tax refund is pending. Confirm your bank details.,1
Your income tax refund is pending. Confirm your bank details.,1
Security Alert! Update your account information to avoid suspension.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Your leave request has been approved by the HR department.,0
Verify your OTP to prevent account deactivation.,1
Please find the attached project report for your review.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
Reminder: Submit your assignment before Friday.,0
Thank you for attending the workshop yesterday.,0
The seminar will begin at 2 PM in the conference hall.,0
Your Office365 password has expired. Reset it immediately.,1
Your order has been shipped and will arrive next week.,0
The examination timetable has been uploaded to the portal.,0
Your mailbox is full. Click here to increase storage.,1
Your order has been shipped and will arrive next week.,0
Urgent! Your bank account requires verification. Login now.,1
Urgent! Your bank account requires verification. Login now.,1
Please find the attached project report for your review.,0
The library will remain closed on Sunday.,0
Thank you for attending the workshop yesterday.,0
Reminder: Submit your assignment before Friday.,0
The monthly sales report is attached for discussion.,0
Verify your OTP to prevent account deactivation.,1
Confirm your payment details to continue using your account.,1
Please find the attached project report for your review.,0
Your Office365 password has expired. Reset it immediately.,1
Your income tax refund is pending. Confirm your bank details.,1
Please find the attached project report for your review.,0
The seminar will begin at 2 PM in the conference hall.,0
Your Office365 password has expired. Reset it immediately.,1
Your Office365 password has expired. Reset it immediately.,1
Your account has been suspended. Click the link to verify your password immediately.,1
The department meeting is scheduled for tomorrow at 10 AM.,0
Your leave request has been approved by the HR department.,0
Reminder: Submit your assignment before Friday.,0
Your income tax refund is pending. Confirm your bank details.,1
The seminar will begin at 2 PM in the conference hall.,0
Urgent! Your bank account requires verification. Login now.,1
Please find the attached project report for your review.,0
Reminder: Submit your assignment before Friday.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your income tax refund is pending. Confirm your bank details.,1
Thank you for attending the workshop yesterday.,0
Your leave request has been approved by the HR department.,0
The library will remain closed on Sunday.,0
The monthly sales report is attached for discussion.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
The examination timetable has been uploaded to the portal.,0
Security Alert! Update your account information to avoid suspension.,1
The monthly sales report is attached for discussion.,0
Verify your OTP to prevent account deactivation.,1
Your mailbox is full. Click here to increase storage.,1
Confirm your payment details to continue using your account.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Reminder: Submit your assignment before Friday.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Confirm your payment details to continue using your account.,1
Reminder: Submit your assignment before Friday.,0
Your income tax refund is pending. Confirm your bank details.,1
Verify your OTP to prevent account deactivation.,1
Your income tax refund is pending. Confirm your bank details.,1
Confirm your payment details to continue using your account.,1
Your mailbox is full. Click here to increase storage.,1
Your leave request has been approved by the HR department.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Thank you for attending the workshop yesterday.,0
Your mailbox is full. Click here to increase storage.,1
Your Office365 password has expired. Reset it immediately.,1
The library will remain closed on Sunday.,0
Security Alert! Update your account information to avoid suspension.,1
Confirm your payment details to continue using your account.,1
Your leave request has been approved by the HR department.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Thank you for attending the workshop yesterday.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
The examination timetable has been uploaded to the portal.,0
Your income tax refund is pending. Confirm your bank details.,1
Your leave request has been approved by the HR department.,0
Your income tax refund is pending. Confirm your bank details.,1
Your order has been shipped and will arrive next week.,0
Verify your OTP to prevent account deactivation.,1
Security Alert! Update your account information to avoid suspension.,1
Please find the attached project report for your review.,0
Your account has been suspended. Click the link to verify your password immediately.,1
Urgent! Your bank account requires verification. Login now.,1
The examination timetable has been uploaded to the portal.,0
Your leave request has been approved by the HR department.,0
Your order has been shipped and will arrive next week.,0
Your account has been suspended. Click the link to verify your password immediately.,1
The examination timetable has been uploaded to the portal.,0
Thank you for attending the workshop yesterday.,0
Please find the attached project report for your review.,0
The library will remain closed on Sunday.,0
Your Office365 password has expired. Reset it immediately.,1
Reminder: Submit your assignment before Friday.,0
Security Alert! Update your account information to avoid suspension.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Please find the attached project report for your review.,0
Your PayPal account is limited. Verify your credentials immediately.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Your order has been shipped and will arrive next week.,0
Your order has been shipped and will arrive next week.,0
The department meeting is scheduled for tomorrow at 10 AM.,0
Your Office365 password has expired. Reset it immediately.,1
Reminder: Submit your assignment before Friday.,0
Your leave request has been approved by the HR department.,0
The examination timetable has been uploaded to the portal.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Reminder: Submit your assignment before Friday.,0
Thank you for attending the workshop yesterday.,0
Your mailbox is full. Click here to increase storage.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Reminder: Submit your assignment before Friday.,0
Your mailbox is full. Click here to increase storage.,1
The monthly sales report is attached for discussion.,0
Urgent! Your bank account requires verification. Login now.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Your Office365 password has expired. Reset it immediately.,1
Urgent! Your bank account requires verification. Login now.,1
Your order has been shipped and will arrive next week.,0
The seminar will begin at 2 PM in the conference hall.,0
Your mailbox is full. Click here to increase storage.,1
Reminder: Submit your assignment before Friday.,0
Confirm your payment details to continue using your account.,1
Your mailbox is full. Click here to increase storage.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Confirm your payment details to continue using your account.,1
Urgent! Your bank account requires verification. Login now.,1
Verify your OTP to prevent account deactivation.,1
Please find the attached project report for your review.,0
The examination timetable has been uploaded to the portal.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Your account has been suspended. Click the link to verify your password immediately.,1
The monthly sales report is attached for discussion.,0
Your PayPal account is limited. Verify your credentials immediately.,1
The examination timetable has been uploaded to the portal.,0
Please find the attached project report for your review.,0
Your account has been suspended. Click the link to verify your password immediately.,1
Your Office365 password has expired. Reset it immediately.,1
The library will remain closed on Sunday.,0
Your order has been shipped and will arrive next week.,0
Congratulations! You have won a prize. Claim it now using the secure link.,1
Confirm your payment details to continue using your account.,1
Your Office365 password has expired. Reset it immediately.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
Your PayPal account is limited. Verify your credentials immediately.,1
The library will remain closed on Sunday.,0
The library will remain closed on Sunday.,0
Urgent! Your bank account requires verification. Login now.,1
Your order has been shipped and will arrive next week.,0
Your account has been suspended. Click the link to verify your password immediately.,1
Your PayPal account is limited. Verify your credentials immediately.,1
Your account has been suspended. Click the link to verify your password immediately.,1
Thank you for attending the workshop yesterday.,0
Your account has been suspended. Click the link to verify your password immediately.,1
The examination timetable has been uploaded to the portal.,0
The library will remain closed on Sunday.,0
Reminder: Submit your assignment before Friday.,0
Your leave request has been approved by the HR department.,0
Security Alert! Update your account information to avoid suspension.,1
Your leave request has been approved by the HR department.,0
Your mailbox is full. Click here to increase storage.,1
Urgent! Your bank account requires verification. Login now.,1
Security Alert! Update your account information to avoid suspension.,1
Reminder: Submit your assignment before Friday.,0
The examination timetable has been uploaded to the portal.,0
Security Alert! Update your account information to avoid suspension.,1
Your mailbox is full. Click here to increase storage.,1
Your order has been shipped and will arrive next week.,0
The seminar will begin at 2 PM in the conference hall.,0
Your account has been suspended. Click the link to verify your password immediately.,1
Urgent! Your bank account requires verification. Login now.,1
Your leave request has been approved by the HR department.,0
Reminder: Submit your assignment before Friday.,0
Your leave request has been approved by the HR department.,0
Reminder: Submit your assignment before Friday.,0
The monthly sales report is attached for discussion.,0
Your Office365 password has expired. Reset it immediately.,1
The examination timetable has been uploaded to the portal.,0
Security Alert! Update your account information to avoid suspension.,1
Thank you for attending the workshop yesterday.,0
The seminar will begin at 2 PM in the conference hall.,0
Verify your OTP to prevent account deactivation.,1
Congratulations! You have won a prize. Claim it now using the secure link.,1
